Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
ms_87,87,manuscript,0,0,0.0,0.0,0.0,0.0,0.0,1.8677707056779937e-12,0.00167794128685817
ms_170,170,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.18755898632792575,5.2297579758983844e-11,0.0021534265921740706
ms_238,238,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.22446616093778618,3.1117059956595387e-09,0.0017726553342964965
ms_92,92,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_301,301,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_90,90,manuscript,1,1,1.0,1.0,0.005681818181818182,2.0234395234395237e-05,0.2844511605415861,5.2297579758983844e-11,0.001692205846017647
ms_44,44,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.21020761863922244,1.3634726151449361e-09,0.001974174588567747
ms_30,30,manuscript,1,1,1.0,1.0,0.005681818181818182,8.093758093758094e-06,0.27668055764599636,5.2297579758983844e-11,0.001692205846017647
ms_83,83,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.22446616093778618,3.1117059956595387e-09,0.0017726553342964965
ms_241,241,manuscript,0,1,0.0,1.0,0.002840909090909091,0.0,0.20568006993006993,1.8677707056779937e-12,0.00167794128685817
ms_242,242,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_76,76,manuscript,1,1,1.0,1.0,0.005681818181818182,5.395838729172062e-06,0.28228894732800985,5.2297579758983844e-11,0.001692205846017647
ms_222,222,manuscript,2,2,1.0,1.0,0.011363636363636364,0.0007486726236726238,0.3008371859913264,5.229757975898386e-11,0.0018188038085580056
ms_27,27,manuscript,1,0,1.0,0.0,0.002840909090909091,0.0,0.274860290819378,5.2297579758983844e-11,0.001692205846017647
ms_147,147,manuscript,0,1,0.0,1.0,0.002840909090909091,0.0,0.23788620187641543,1.8677707056779937e-12,0.00167794128685817
ms_155,155,manuscript,1,1,1.0,1.0,0.005681818181818182,0.0,0.30002703198955444,5.2297579758983844e-11,0.001692205846017647
